date,point_id,from_area,to_area,flow_mcm,capacity_mcm
2022-03-22,incukalns_ugs,LV,LV,3.29,6.4
2022-03-23,balticconnector,FI,EE,5.7,7.2
2022-03-23,gipl,PL,LT,4.87,6.5
2022-03-23,klaipeda_lng,GLOBAL,LT,7.54,10.3
2022-03-23,incukalns_ugs,LV,LV,3.73,6.4
2022-03-24,balticconnector,FI,EE,5.72,7.2
2022-03-24,gipl,PL,LT,4.1,6.5
2022-03-24,klaipeda_lng,GLOBAL,LT,6.3,10.3
2022-03-24,incukalns_ugs,LV,LV,3.53,6.4
2022-03-25,balticconnector,FI,EE,5.92,7.2
2022-03-25,gipl,PL,LT,4.16,6.5
2022-03-25,klaipeda_lng,GLOBAL,LT,6.93,10.3
2022-03-25,incukalns_ugs,LV,LV,3.64,6.4
2022-03-26,balticconnector,FI,EE,5.17,7.2
2022-03-26,gipl,PL,LT,5.04,6.5
2022-03-26,klaipeda_lng,GLOBAL,LT,6.67,10.3
2022-03-26,incukalns_ugs,LV,LV,3.83,6.4
2022-03-27,balticconnector,FI,EE,5.48,7.2
2022-03-27,gipl,PL,LT,4.19,6.5
2022-03-27,klaipeda_lng,GLOBAL,LT,6.63,10.3
2022-03-27,incukalns_ugs,LV,LV,3.42,6.4
2022-03-28,balticconnector,FI,EE,5.56,7.2
2022-03-28,gipl,PL,LT,4.51,6.5
2022-03-28,klaipeda_lng,GLOBAL,LT,7.1,10.3
2022-03-28,incukalns_ugs,LV,LV,3.4,6.4
2022-03-29,balticconnector,FI,EE,5.72,7.2
2022-03-29,gipl,PL,LT,3.92,6.5
2022-03-29,klaipeda_lng,GLOBAL,LT,7.14,10.3
2022-03-29,incukalns_ugs,LV,LV,3.42,6.4
2022-03-30,balticconnector,FI,EE,6.56,7.2
2022-03-30,gipl,PL,LT,4.22,6.5
2022-03-30,klaipeda_lng,GLOBAL,LT,5.82,10.3
2022-03-30,incukalns_ugs,LV,LV,3.64,6.4
2022-03-31,balticconnector,FI,EE,5.92,7.2
2022-03-31,gipl,PL,LT,4.2,6.5
2022-03-31,klaipeda_lng,GLOBAL,LT,5.98,10.3
2022-03-31,incukalns_ugs,LV,LV,3.91,6.4
2022-04-01,balticconnector,FI,EE,5.71,7.2
2022-04-01,gipl,PL,LT,3.01,6.5
2022-04-01,klaipeda_lng,GLOBAL,LT,5.73,10.3
2022-04-01,incukalns_ugs,LV,LV,3.5,6.4
2022-04-02,balticconnector,FI,EE,4.76,7.2
2022-04-02,gipl,PL,LT,3.8,6.5
2022-04-02,klaipeda_lng,GLOBAL,LT,5.83,10.3
2022-04-02,incukalns_ugs,LV,LV,2.66,6.4
2022-04-03,balticconnector,FI,EE,4.15,7.2
2022-04-03,gipl,PL,LT,4.42,6.5
2022-04-03,klaipeda_lng,GLOBAL,LT,4.89,10.3
2022-04-03,incukalns_ugs,LV,LV,3.07,6.4
2022-04-04,balticconnector,FI,EE,5.44,7.2
2022-04-04,gipl,PL,LT,3.42,6.5
2022-04-04,klaipeda_lng,GLOBAL,LT,5.45,10.3
2022-04-04,incukalns_ugs,LV,LV,3.36,6.4
2022-04-05,balticconnector,FI,EE,5.27,7.2
2022-04-05,gipl,PL,LT,3.75,6.5
2022-04-05,klaipeda_lng,GLOBAL,LT,6.72,10.3
2022-04-05,incukalns_ugs,LV,LV,3.36,6.4
2022-04-06,balticconnector,FI,EE,5.13,7.2
2022-04-06,gipl,PL,LT,3.64,6.5
2022-04-06,klaipeda_lng,GLOBAL,LT,5.75,10.3
2022-04-06,incukalns_ugs,LV,LV,3.09,6.4
2022-04-07,balticconnector,FI,EE,4.91,7.2
2022-04-07,gipl,PL,LT,4.38,6.5
2022-04-07,klaipeda_lng,GLOBAL,LT,5.08,10.3
2022-04-07,incukalns_ugs,LV,LV,2.55,6.4
2022-04-08,balticconnector,FI,EE,5.09,7.2
2022-04-08,gipl,PL,LT,3.8,6.5
2022-04-08,klaipeda_lng,GLOBAL,LT,5.62,10.3
2022-04-08,incukalns_ugs,LV,LV,2.47,6.4
2022-04-09,balticconnector,FI,EE,5.01,7.2
2022-04-09,gipl,PL,LT,3.98,6.5
2022-04-09,klaipeda_lng,GLOBAL,LT,6.39,10.3
2022-04-09,incukalns_ugs,LV,LV,3.02,6.4
2022-04-10,balticconnector,FI,EE,4.93,7.2
2022-04-10,gipl,PL,LT,4.47,6.5
2022-04-10,klaipeda_lng,GLOBAL,LT,5.21,10.3
2022-04-10,incukalns_ugs,LV,LV,3.16,6.4
2022-04-11,balticconnector,FI,EE,4.16,7.2
2022-04-11,gipl,PL,LT,3.66,6.5
2022-04-11,klaipeda_lng,GLOBAL,LT,5.27,10.3
2022-04-11,incukalns_ugs,LV,LV,3.23,6.4
2022-04-12,balticconnector,FI,EE,4.97,7.2
2022-04-12,gipl,PL,LT,3.99,6.5
2022-04-12,klaipeda_lng,GLOBAL,LT,5.34,10.3
2022-04-12,incukalns_ugs,LV,LV,2.91,6.4
2022-04-13,balticconnector,FI,EE,4.62,7.2
2022-04-13,gipl,PL,LT,4.15,6.5
2022-04-13,klaipeda_lng,GLOBAL,LT,5.41,10.3
2022-04-13,incukalns_ugs,LV,LV,3.4,6.4
2022-04-14,balticconnector,FI,EE,4.16,7.2
2022-04-14,gipl,PL,LT,3.68,6.5
2022-04-14,klaipeda_lng,GLOBAL,LT,7.01,10.3
2022-04-14,incukalns_ugs,LV,LV,2.87,6.4
2022-04-15,balticconnector,FI,EE,4.34,7.2
2022-04-15,gipl,PL,LT,4.09,6.5
2022-04-15,klaipeda_lng,GLOBAL,LT,5.71,10.3
2022-04-15,incukalns_ugs,LV,LV,2.75,6.4
2022-04-16,balticconnector,FI,EE,4.45,7.2
2022-04-16,gipl,PL,LT,5.11,6.5
2022-04-16,klaipeda_lng,GLOBAL,LT,5.85,10.3
2022-04-16,incukalns_ugs,LV,LV,2.42,6.4
2022-04-17,balticconnector,FI,EE,5.75,7.2
2022-04-17,gipl,PL,LT,4.24,6.5
2022-04-17,klaipeda_lng,GLOBAL,LT,5.54,10.3
2022-04-17,incukalns_ugs,LV,LV,2.72,6.4
2022-04-18,balticconnector,FI,EE,5.34,7.2
2022-04-18,gipl,PL,LT,3.9,6.5
2022-04-18,klaipeda_lng,GLOBAL,LT,4.84,10.3
2022-04-18,incukalns_ugs,LV,LV,3.54,6.4
2022-04-19,balticconnector,FI,EE,4.78,7.2
2022-04-19,gipl,PL,LT,4.6,6.5
2022-04-19,klaipeda_lng,GLOBAL,LT,6.77,10.3
2022-04-19,incukalns_ugs,LV,LV,2.7,6.4
2022-04-20,balticconnector,FI,EE,5.52,7.2
2022-04-20,gipl,PL,LT,3.74,6.5
2022-04-20,klaipeda_lng,GLOBAL,LT,4.88,10.3
2022-04-20,incukalns_ugs,LV,LV,2.87,6.4
2022-04-21,balticconnector,FI,EE,5.2,7.2
2022-04-21,gipl,PL,LT,3.81,6.5
2022-04-21,klaipeda_lng,GLOBAL,LT,5.82,10.3
2022-04-21,incukalns_ugs,LV,LV,3.34,6.4
2022-04-22,balticconnector,FI,EE,5.05,7.2
2022-04-22,gipl,PL,LT,3.66,6.5
2022-04-22,klaipeda_lng,GLOBAL,LT,6.42,10.3
2022-04-22,incukalns_ugs,LV,LV,3.06,6.4
2022-04-23,balticconnector,FI,EE,3.74,7.2
2022-04-23,gipl,PL,LT,4.17,6.5
2022-04-23,klaipeda_lng,GLOBAL,LT,6.24,10.3
2022-04-23,incukalns_ugs,LV,LV,3.01,6.4
2022-04-24,balticconnector,FI,EE,5.45,7.2
2022-04-24,gipl,PL,LT,3.73,6.5
2022-04-24,klaipeda_lng,GLOBAL,LT,6.2,10.3
2022-04-24,incukalns_ugs,LV,LV,2.53,6.4
2022-04-25,balticconnector,FI,EE,5.2,7.2
2022-04-25,gipl,PL,LT,4.78,6.5
2022-04-25,klaipeda_lng,GLOBAL,LT,5.4,10.3
2022-04-25,incukalns_ugs,LV,LV,2.77,6.4
2022-04-26,balticconnector,FI,EE,4.64,7.2
2022-04-26,gipl,PL,LT,4.05,6.5
2022-04-26,klaipeda_lng,GLOBAL,LT,5.36,10.3
2022-04-26,incukalns_ugs,LV,LV,3.13,6.4
2022-04-27,balticconnector,FI,EE,5.42,7.2
2022-04-27,gipl,PL,LT,4.21,6.5
2022-04-27,klaipeda_lng,GLOBAL,LT,4.94,10.3
2022-04-27,incukalns_ugs,LV,LV,3.3,6.4
2022-04-28,balticconnector,FI,EE,5.47,7.2
2022-04-28,gipl,PL,LT,4.33,6.5
2022-04-28,klaipeda_lng,GLOBAL,LT,6.22,10.3
2022-04-28,incukalns_ugs,LV,LV,3.07,6.4
2022-04-29,balticconnector,FI,EE,5.52,7.2
2022-04-29,gipl,PL,LT,4.77,6.5
2022-04-29,klaipeda_lng,GLOBAL,LT,5.43,10.3
2022-04-29,incukalns_ugs,LV,LV,3.32,6.4
2022-04-30,balticconnector,FI,EE,4.96,7.2
2022-04-30,gipl,PL,LT,3.95,6.5
2022-04-30,klaipeda_lng,GLOBAL,LT,5.08,10.3
2022-04-30,incukalns_ugs,LV,LV,2.91,6.4
